lines,author
"At 211 degrees, water is hot. At 212 degrees, it boils. And with boiling water, comes steam. And with steam, you can power a train. ",<Author:0x0000557fafcd2ad8>
The key of persistence opens all doors closed by resistance.,<Author:0x0000557fafd5a500>
"You keep putting one foot in front of the other, and then one day you look back and you've climbed a mountain.",<Author:0x0000557fafdc8410>
"To persist with a goal, you must treasure the dream more than the costs of sacrifice to attain it.",<Author:0x0000557fafe3e570>
Failure cannot cope with persistence.,<Author:0x0000557fafeb37f8>
"Though no one can go back and make a brand new start, anyone can start from now and make a brand new ending.",<Author:0x0000557faff58fa0>
A highly developed values system is like a compass. It serves as a guide to point you in the right direction when you are lost.,<Author:0x0000557faffe3330>
"Just don’t give up trying what you really want to do. Where there is love and inspiration, I don’t think you can go wrong.",<Author:0x0000557fb0682740>
"When we strive to become better than we are, everything around us becomes better, too.",<Author:0x0000557fb06de130>
 The most important thing is to try and inspire people so that they can be great in whatever they want to do.,<Author:0x0000557fb072f4e0>
Bad things do happen; how I respond to them defines my character and the quality of my life. I can choose to sit in perpetual sadness... or I can choose to rise from the pain and treasure the most precious gift I have—life itself.,<Author:0x0000557fb075ccb0>
"Show me someone who has done something worthwhile, and I’ll show you someone who has overcome adversity.",<Author:0x0000557fb0794e30>
"It's not the load that breaks you down, it's the way you carry it.",<Author:0x0000557fb07b4870>
Getting over a painful experience is much like crossing monkey bars. You have to let go at some point in order to move forward.,<Author:0x0000557fb07d7ed8>
"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",<Author:0x0000557fb07f0280>
The creative is the place where no one else has ever been. You have to leave the city of your comfort and go into the wilderness of your intuition.,<Author:0x0000557fb08245f8>
Creativity is allowing yourself to make mistakes. Art is knowing which ones to keep.,<Author:0x0000557fb086f710>
Creativity requires the courage to let go of certainties.,<Author:0x0000557fb0898250>
I am the me I choose to be.,<Author:0x0000557fb08c1bf0>
Creative people do not see things for what they are; they see them for what they can be.,<Author:0x0000557fb08e5e88>
There was never a night or a problem that could defeat sunrise or hope.,<Author:0x0000557fb091ad18>
"Hope is a state of mind, not of the world. Hope, in this deep and powerful sense, is not the same as joy that things are going well…, but rather an ability to work for something because it is good.",<Author:0x0000557fb09e0338>
"Just as one cannot live without dreams, one cannot live without hope. If dreams reflect the past, hope summons the future.",<Author:0x0000557fb0a41548>
"We have always held to the hope, the belief, the conviction that there is a better life, a better world, beyond the horizon.",<Author:0x0000557fb0a99798>
"Hope smiles from the threshold of the year to come, whispering 'it will be happier'...",<Author:0x0000557fb0aff138>
What greater thing is there for human souls than to feel that they are joined for life - to be with each other in silent unspeakable memories.,<Author:0x0000557fb0fd8f38>
It didn’t matter how big our house was; it mattered that there was love in it.,<Author:0x0000557fb11f6680>
"The bond that links your true family is not one of blood, but of respect and joy in each other's life. Rarely do members of one family grow up under the same roof.",<Author:0x0000557fb1938b00>
"Having somewhere to go is home, having someone to love is family, having both is blessing.",<Author:0x0000557fb1980a18>
Do your little bit of good where you are; its those little bits of good put together that overwhelm the world.,<Author:0x0000557fb19c84d0>
"This is my wish for you: peace of mind, prosperity through the year, happiness that multiplies, health for you and yours, fun around every corner, energy to chase your dreams, joy to fill your holidays!",<Author:0x0000557fb1233670>
Laughing cheerfulness throws the light of day on all the paths of life.,<Author:0x0000557fb1269400>
